x,model_index,model,seed,window_sensitivity,fpd_per_hour
0.867,1,PSD+LDA,1024,0.0182712579058327,0.1911902530459231
0.881,1,PSD+LDA,11111,0.0226712666338097,0.1987261146496815
0.895,1,PSD+LDA,123,0.0051513200257566,0.1911148365465213
0.909,1,PSD+LDA,12345,0.0226086956521739,0.1960923623445825
0.923,1,PSD+LDA,13579,0.0113468179575727,0.1889763779527559
0.937,1,PSD+LDA,14142,0.0067681895093062,0.1954397394136807
0.951,1,PSD+LDA,15926,0.0040268456375838,0.1992779783393501
0.965,1,PSD+LDA,16384,0.0117574257425742,0.1984251968503937
0.979,1,PSD+LDA,2025,0.041427660930529,0.1938958707360862
0.993,1,PSD+LDA,3141,0.0222788033099936,0.1978021978021978
1.007,1,PSD+LDA,4096,0.0207166853303471,0.1875
1.021,1,PSD+LDA,42,0.0241327300150829,0.196238757154538
1.035,1,PSD+LDA,456,0.0128012048192771,0.1953781512605042
1.049,1,PSD+LDA,5555,0.0417028670721112,0.1906274821286735
1.063,1,PSD+LDA,6174,0.0114170584284754,0.196238757154538
1.077,1,PSD+LDA,7077,0.0142387732749178,0.196551724137931
1.091,1,PSD+LDA,789,0.0373952288845905,0.1960517358747447
1.105,1,PSD+LDA,8192,0.0059800664451827,0.1945392491467576
1.119,1,PSD+LDA,9001,0.041002277904328,0.1994459833795014
1.133,1,PSD+LDA,9999,0.0009765625,0.196078431372549
1.867,2,EEGNet,1024,0.0491918482080112,0.1911902530459231
1.881,2,EEGNet,11111,0.0359783144406111,0.1987261146496815
1.895,2,EEGNet,123,0.0032195750160978,0.1911148365465213
1.909,2,EEGNet,12345,0.0017391304347826,0.1960923623445825
1.923,2,EEGNet,13579,0.0172668968919585,0.1889763779527559
1.937,2,EEGNet,14142,0.0016920473773265,0.1954397394136807
1.951,2,EEGNet,15926,0.0322147651006711,0.1992779783393501
1.965,2,EEGNet,16384,0.0061881188118811,0.1984251968503937
1.979,2,EEGNet,2025,0.0509878903760356,0.1938958707360862
1.993,2,EEGNet,3141,0.0184595798854232,0.1978021978021978
