x,model_index,model,subject_group,mean_auc,n_test_appearances
5.018,5,EEG-Conformer,chb13,0.56516736630373,4
5.030,5,EEG-Conformer,chb14,0.45367455833557524,4
5.042,5,EEG-Conformer,chb15,0.5075867416165923,3
5.054,5,EEG-Conformer,chb16,0.5622140349010427,8
5.066,5,EEG-Conformer,chb17,0.5468150843150843,6
5.078,5,EEG-Conformer,chb18,0.48396766001438324,3
5.090,5,EEG-Conformer,chb19,0.36565187346437344,5
5.102,5,EEG-Conformer,chb20,0.24879964192708334,3
5.114,5,EEG-Conformer,chb22,0.6202854181918444,5
5.126,5,EEG-Conformer,chb23,0.6213508590557771,3
